,Unnamed: 0,Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),Source,Month,count
28,4, May,536.0000000000003,570.1666666666665,490.666666666667,518.0000000000005,527.1666666666667,548.6666666666667,595.3333333333331,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,41626102.92965234,411421628.0033139,12788660.882729102,93872497.17839336,9481734.514243104,369738923.6440019,2320117.7003828627,81246722.8852623,1886805.192604581,334285130.3607048,3026294.56407153,217609151.512944,1226226.7665692118,68635489.8705676,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, May,1
29,5, June,465.1666666666669,465.00000000000045,411.3333333333336,411.3333333333336,438.1666666666671,468.0000000000002,474.5000000000003,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,8111308.653543329,776884149.9408009,1289299.1290670028,173976606.52136362,0.0,642870850.8535042,0.0,142364276.2532117,0.0,632827883.841751,0.0,416514469.21652776,0.0,133083093.35332456,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, June,1
30,6, July,470.6666666666668,462.1666666666668,412.00000000000017,405.8333333333335,431.33333333333366,463.6666666666671,463.16666666666686,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,4930983.276514732,878711779.2821629,1104704.8641616884,199444591.667846,406589.7270964195,722440519.7801424,0.0,162491670.13205922,0.0,721098196.768884,0.0,473307052.2852656,0.0,154847549.7411289,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, July,1
31,7, August,490.6666666666669,517.8333333333337,455.00000000000034,475.83333333333366,498.3333333333336,517.8333333333337,551.0,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,53763566.68109835,612860840.7876453,20770720.879768223,141983467.83747754,14311470.935741708,515158701.9642665,2615485.0016187523,117540909.25425872,682323.5328089432,476731545.26309454,1620608.266615091,315337667.6858143,280355.86524349527,104336038.88552186,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, August,1
32,8, September,512.5000000000002,570.0,495.00000000000017,547.6666666666669,522.5000000000001,530.1666666666669,591.6666666666665,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,116332103.2429682,331995641.1402633,52375332.56887731,71882894.72394143,67211205.91443203,295025560.9864018,17431050.807845905,65798540.58824934,10272046.633298988,227193830.129383,11039397.02718708,154983443.7149574,4391445.720122622,47302102.69600559,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, September,1
33,9, October,578.6666666666666,626.8333333333331,570.8333333333334,639.3333333333334,571.1666666666669,588.6666666666669,655.4999999999998,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,194768802.4508893,162673226.31252787,95611586.15992032,32206079.70428409,152720677.43435317,153965320.64744508,42610998.20210172,32153746.6821588,47437692.61091115,97550966.61079398,34913561.91230964,65806561.582053706,17519018.482305646,17203764.639042992,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, October,1
34,10, November,572.1666666666667,605.9999999999999,564.9999999999998,629.333333333333,542.6666666666669,561.5000000000001,618.8333333333333,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,391296602.8864201,46590561.80177008,164214293.90754855,6119228.154778982,307245197.96156347,48678729.08204027,84591770.74483854,8748526.25981057,153224261.79285195,23485807.59282784,102639883.42444636,16432693.050757453,52918781.9699031,2142798.9529048465,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, November,1
35,11, December,589.1666666666665,610.0,588.1666666666665,647.1666666666669,565.4999999999998,577.6666666666667,621.4999999999998,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,684364102.4990369,5975003.509720646,247025547.63121963,0.0,501451344.8517549,8783593.258991169,138481312.9851787,96071.57314513906,338461550.7035648,4228035.063618399,231668578.6151459,2641167.692765693,111988725.26987576,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, December,1
36,0, January,570.3333333333334,580.6666666666667,581.6666666666666,617.6666666666664,547.3333333333334,551.8333333333333,570.0,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,838305435.7559979,1401905.1309706632,299039470.0181856,0.0,604047019.7055947,1792312.8580971812,168465005.00647432,5060.983075898805,428929197.8966615,1070011.4201288056,302562345.50927454,647762.4279728655,145521558.15335545,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, January,1
37,1, February,545.3333333333334,560.6666666666667,549.0,593.833333333333,528.8333333333335,535.6666666666666,571.1666666666667,8.811700000000124,2.191250000000017,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000055,572392500.0050946,10409191.287610209,202504628.3530254,4167.908879948143,399511950.03461295,15860169.679608325,111522366.79982825,728181.38068077,275742002.49979603,13782303.178171756,200622089.3249554,7056865.618597325,95459978.03985776,192030.96629899016,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, February,1
38,2, March,598.9999999999997,639.0,619.1666666666665,667.6666666666664,602.4999999999998,600.3333333333331,652.3333333333334,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,470262918.0075383,46388279.22140253,166513505.73286775,5016650.838062301,300642554.2535934,51891771.73669845,83275242.72911751,7102736.217921599,178790140.6500914,36111068.70267173,140657877.9026892,22441101.59220784,66151189.9197397,3339457.110245897,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, March,1
39,3, April,560.4999999999998,620.1666666666666,549.8333333333334,602.8333333333333,568.4999999999999,576.5,640.8333333333334,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,180890871.9495366,172618080.65531188,67279738.80863312,27065115.43963661,98079914.12230368,162947714.07602566,25623171.03061411,30141039.847023085,28218951.751863863,145131104.54406294,26475776.031382125,96010259.58843765,10779001.694351152,22845847.872022405,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, April,1
40,4, May,533.3333333333334,567.0000000000002,488.8333333333337,516.0000000000005,525.666666666667,546.5000000000001,593.1666666666664,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,46476738.11911095,436564572.0988912,14165593.885658994,99781355.81302103,10562574.33198415,390185522.2565964,2621494.3227858488,85608038.56774534,2265310.270698143,353113329.1555103,3447860.8839142183,230284353.15617105,1404744.5197243523,72701034.5941791,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, May,1
41,5, June,463.8333333333336,461.3333333333335,407.8333333333336,406.8333333333336,437.3333333333337,469.166666666667,474.5000000000002,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,10100882.601512613,802247728.7226505,1739221.0849117406,182031328.0607832,0.0,668136223.5985552,0.0,148166118.66408944,0.0,656564987.86346,0.0,429403752.8478652,0.0,138468692.11655515,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, June,1
42,6, July,472.5000000000002,466.50000000000045,414.5000000000001,409.8333333333335,434.83333333333366,467.50000000000034,469.5000000000002,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,6332760.47250775,874423873.9945885,1434651.8766045,198548441.87016293,743833.4922467917,718541320.9448323,0.0,161517369.03721434,0.0,715051183.9610317,23786.15068819002,470053135.9198989,0.0,153852850.25994328,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, July,1
43,7, August,491.8333333333336,522.8333333333335,458.1666666666671,481.1666666666672,503.66666666666686,523.0000000000002,558.3333333333335,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,60766890.90099394,586381514.7461795,23669105.367703497,135639087.50411755,16886083.618623447,496065546.68331575,3053858.794872007,113102497.77095394,827629.3877084485,455545026.6285284,1828600.6117819047,300997691.155869,381638.9593916968,99386813.57756928,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, August,1
44,8, September,514.6666666666669,571.3333333333334,497.8333333333336,553.3333333333336,522.0000000000001,530.6666666666667,594.6666666666667,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,129269777.14856924,316320346.0645135,56745115.61877455,67868284.08532295,75060894.57345408,283557420.72194946,19836438.25922365,62562301.94160502,12960598.94490411,216500380.99402168,13372048.748023462,147697663.27008262,5519112.205096432,44443424.62917041,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, September,1
45,9, October,582.6666666666667,631.9999999999998,573.666666666667,639.5000000000001,574.5,592.0,659.3333333333333,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,174902911.29873365,168038864.70736468,88048566.79759556,33366151.19863614,139105295.59691378,158402190.12713856,37949145.75297279,33149208.487748954,41571876.025644764,101866428.04091164,30736527.59702974,68732318.40293068,15302036.602334963,18069054.40652502,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, October,1
46,10, November,571.3333333333333,604.6666666666667,564.8333333333333,628.8333333333334,542.1666666666667,560.8333333333331,616.0,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,420837142.1791768,41416505.3856848,173019646.70030883,5147506.11734446,326208116.9084265,43755937.33431787,90613879.27395742,7575809.815799414,170066719.16846484,20944774.85562646,115251208.80338752,14564119.684289657,58685452.664967164,1806949.1402378085,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, November,1
47,11, December,587.4999999999999,610.0000000000002,588.1666666666664,646.6666666666667,565.4999999999999,576.4999999999999,618.833333333333,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,692283717.1578636,5310147.14942698,249072993.50311747,0.0,506142836.1418465,8028858.456651176,139931242.8791315,51371.35970791141,344230639.8299674,3930207.682915811,236611542.31829217,2416550.774009737,114065632.74261236,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp370-2050.csv, December,1
48,0, January,566.0000000000002,572.8333333333335,576.8333333333336,612.9999999999999,542.0000000000001,545.8333333333333,562.8333333333331,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,872915998.8208532,1079653.3198644773,309445168.0206946,0.0,626724393.3107415,1395390.6436785115,174875659.3649753,240.16093198899625,449630370.9395585,850189.2414387005,317408565.9019744,500908.2205919885,153332509.78107983,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, January,1
49,1, February,543.1666666666665,555.9999999999999,548.5,591.0,526.6666666666667,535.0000000000001,564.8333333333333,8.811700000000124,2.191250000000017,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000055,596248656.3451972,7407634.314880279,209579292.666962,0.0,415800205.4766565,11726694.104277715,116334979.39130583,355452.5887490498,290693625.07713896,10938126.67225748,211680455.39604452,5232382.004030062,100868867.30076475,55188.10274922362,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, February,1
50,2, March,601.1666666666664,641.4999999999999,620.9999999999999,668.8333333333329,604.1666666666664,602.6666666666666,654.3333333333334,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,463426967.12825567,45096004.77469763,164307443.75057724,4669238.057114382,295928904.8256388,50584309.345118605,81870614.87006353,6805164.834063055,176525533.70253038,35486349.57334267,139035993.91608274,21994508.92366267,65431404.120668806,3164867.240499558,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, March,1
51,3, April,568.1666666666664,628.8333333333333,560.1666666666666,612.8333333333335,576.1666666666662,583.6666666666665,647.1666666666666,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,187388598.44561937,148493798.41156477,69204672.19182299,21530709.814206608,102089619.6023735,144590086.98457405,26716259.665596776,25345939.338685203,30429618.95752049,129300793.51627897,28254774.56366557,84310027.31998028,11707027.78339008,18610945.15512384,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, April,1
52,4, May,540.666666666667,577.8333333333331,494.5000000000004,527.0000000000001,534.3333333333335,552.9999999999998,602.9999999999999,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,48767520.78061795,397322588.2062634,15073226.02333564,90556759.28634228,11466964.936075058,359957490.64011323,2840870.4414306246,78673103.30670139,2386292.2507635206,322599869.4327529,3556399.97722215,210045165.56185696,1510439.955876744,65895400.594071366,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, May,1
53,5, June,466.0000000000004,466.5000000000004,414.0000000000003,414.16666666666686,440.6666666666668,469.1666666666669,476.5000000000003,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,6506698.395649796,735477612.4111787,986698.138287154,164518172.76157913,0.0,610060414.1052788,0.0,135473222.9173978,0.0,600574329.8473659,0.0,394592964.3254264,0.0,126201724.41779386,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, June,1
54,6, July,472.8333333333335,466.83333333333366,415.66666666666686,410.8333333333334,434.50000000000045,466.5000000000004,468.0000000000002,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,5266511.110157552,836884863.1206981,1205208.2566728515,190251670.3374005,492369.648119654,689850075.545783,0.0,155548300.8812711,0.0,687124662.8211081,0.0,450612762.7611,0.0,147754294.0427685,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, July,1
55,7, August,494.00000000000034,526.0000000000003,459.666666666667,486.1666666666671,506.8333333333334,524.3333333333334,564.6666666666667,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,66633742.056468725,565091048.4538785,26019709.620189272,130235502.09506088,19223101.783107724,480236259.6758451,3754983.112284482,109367385.18662828,1081249.175313451,439172507.2803207,2203163.937277859,290029162.126038,533231.1289326043,95514052.89674656,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, August,1
56,8, September,517.3333333333336,575.8333333333334,503.5000000000003,559.3333333333335,524.1666666666666,531.5,597.9999999999998,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,143129141.05731794,292176518.34550345,62392128.94107545,62045683.86266318,83620595.48439606,266152795.3798058,22276839.482606404,58059159.211873785,16488803.444259372,202432075.7625377,16379781.038622474,137490466.80815166,6990362.5494452575,40684932.86856044,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, September,1
57,9, October,579.5,627.3333333333334,572.3333333333334,640.8333333333334,573.5000000000001,589.5000000000001,656.3333333333333,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,196803992.47644603,155814471.77353373,96854055.9010423,30393139.414373785,154978771.30805603,148597092.2168824,43344945.7758971,30757129.138417408,47496585.511658825,93552397.1676395,35049504.431892455,62989858.0134576,17749066.242495243,16174212.24104818,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, October,1
58,10, November,571.1666666666664,604.1666666666669,563.5000000000001,628.3333333333333,540.9999999999999,558.9999999999999,616.6666666666667,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,409292111.2890668,44081701.22756195,169780142.10235864,5684594.909035336,320150600.35936546,46333911.240574434,88596417.64461613,8184531.462160227,162673060.216186,22059033.93456544,109514523.47849378,15425249.944368334,56097456.8380796,1932961.591436723,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, November,1
59,11, December,589.3333333333334,606.0000000000001,588.3333333333333,644.0,566.3333333333334,577.333333333333,614.9999999999995,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,701733668.5610137,3100944.873062409,251771301.09851235,0.0,511249008.3171224,5721724.035826647,141842412.26469904,3245.2425157641424,350818390.51986325,2650247.9684246136,241549604.1386996,1531310.776036851,116839384.70238648,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp585-2050.csv, December,1
