Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly)
 January,598.6666666666666,624.5,604.8333333333335,662.1666666666666,563.9999999999998,572.4999999999999,616.1666666666664,258.99999999999994,265.8333333333333,257.83333333333326,267.8333333333333,260.9999999999999,260.6666666666666,263.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,558609773.5952603,8490941.208750544,207325092.21033043,107204.39812326725,409313125.44705516,11872595.639445929,111486041.31458601,804213.4131295563,251866068.2407111,8550426.943590393,177653968.34456262,4677981.933341314,87729918.07065755,210110.88113597286
 February,563.3333333333333,599.3333333333333,564.8333333333331,613.8333333333333,544.6666666666667,555.6666666666666,607.3333333333331,235.99999999999997,240.6666666666666,233.16666666666663,240.1666666666666,235.66666666666663,237.49999999999994,242.49999999999994,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,8.811700000000124,2.1912500000000175,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000057,362991482.1442379,37987932.31655501,142225916.10300124,2497969.9334937083,263480814.09450173,44232482.92634142,69536961.84067173,5272141.942353276,136240272.85157633,33305497.174925398,99779681.08002967,19882320.16755667,45191753.08870042,2202928.5219339975
 March,612.8333333333331,663.4999999999999,612.6666666666665,672.6666666666665,607.3333333333333,616.8333333333333,679.8333333333334,261.6666666666666,265.3333333333333,258.5,267.6666666666666,260.49999999999994,263.1666666666666,268.8333333333332,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,261371195.87124887,98328207.07903084,103901276.55417566,14866434.457186736,167814220.9588525,106630263.49859041,44293055.45946792,17022937.130859673,63454346.15159845,72756649.76358399,54389894.104625836,45237315.945973225,23354585.17593902,8774006.513944827
 April,521.5000000000003,567.6666666666669,483.8333333333337,529.0000000000002,510.6666666666672,524.166666666667,584.4999999999997,254.66666666666654,256.9999999999999,255.66666666666657,258.3333333333332,261.6666666666665,260.6666666666665,259.99999999999983,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,98721212.61363171,305332383.68899965,40452096.322923884,65207365.32490435,50564762.25567411,271762196.2911049,12035666.111187384,59310721.60039519,5138795.292919378,243362514.1184812,6426191.530485248,161346492.22956777,2085319.7635423334,50030395.638077155
 May,499.3333333333337,506.66666666666697,445.3333333333337,451.83333333333377,487.16666666666697,511.3333333333337,533.0000000000002,309.99999999999994,297.66666666666663,304.83333333333326,298.83333333333326,305.49999999999994,311.66666666666663,299.16666666666663,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,22720551.004583344,581501978.4007984,6427064.941935252,137172945.0367352,3497213.472155034,519438696.2170186,659132.9292115427,115203210.63983099,210611.3879949014,481944611.2281792,1081801.3201147907,309415687.9306457,309077.99475020985,99625234.07242705
 June,447.00000000000034,425.3333333333338,377.3333333333336,368.66666666666686,395.1666666666669,436.83333333333377,429.66666666666686,288.3333333333333,288.49999999999994,288.6666666666666,287.99999999999994,286.33333333333326,287.33333333333326,287.83333333333326,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,3496827.111502743,1028051132.0143293,241179.92830776155,231575158.90347975,0.0,854556846.3127762,0.0,188335517.12787136,0.0,855383006.4195802,0.0,560112151.9711176,0.0,179378984.09937912
 July,457.66666666666697,431.1666666666669,384.8333333333336,376.33333333333337,402.00000000000034,443.33333333333354,434.8333333333336,298.4999999999999,298.83333333333326,310.5,297.66666666666663,301.99999999999994,315.83333333333337,297.49999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,3258108.541071913,1095438467.868666,640969.3144887433,249075858.20577917,0.0,913547156.1723553,0.0,202553213.6920329,0.0,916940972.2608522,0.0,598249560.5907422,0.0,193293442.52949667
 August,481.5000000000003,489.50000000000017,433.3333333333337,445.00000000000034,487.33333333333354,506.66666666666674,527.1666666666669,301.9999999999999,295.8333333333333,310.66666666666663,298.8333333333333,305.3333333333333,311.5,298.8333333333333,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,39229285.856584884,748789882.3188374,17394842.831339445,173883381.46644944,8572410.618706305,634023155.302441,851315.6893548738,141591983.2138477,0.0,589662333.4795734,154924.3855782196,388385195.2397808,22629.61757797345,125992820.34651798
 September,493.3333333333334,535.6666666666669,463.83333333333354,498.33333333333377,504.50000000000006,510.8333333333332,557.0,255.66666666666657,254.66666666666657,256.3333333333332,257.3333333333332,258.9999999999999,258.3333333333332,258.9999999999999,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,67091888.52233836,439148583.4425469,34226905.876245335,103710756.14091644,36516289.33866429,377364472.2221344,8558183.311186677,89499566.24293788,700339.8690974654,292339470.4938948,1682046.0335217821,200407593.7045582,215171.3293295184,67101993.40635534
 October,576.3333333333335,623.1666666666666,551.0000000000001,608.0,566.9999999999999,582.5000000000001,643.4999999999998,293.83333333333326,292.33333333333326,291.8333333333333,294.66666666666663,295.16666666666663,296.33333333333326,298.83333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,96664784.380571,238165438.94402507,57751595.65270839,51430022.018036015,84292373.4616245,219752021.57610136,21988974.024323914,49798192.739583135,12460420.04316824,134899404.93969005,9685456.26195429,92925877.22385079,4100445.405938973,27133899.20349188
 November,564.0000000000001,617.3333333333331,546.5,622.1666666666665,528.3333333333331,548.1666666666669,621.8333333333333,281.66666666666663,285.3333333333333,277.66666666666663,283.8333333333333,282.8333333333333,284.66666666666663,289.8333333333333,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,244046369.60333964,91022055.30198058,121625989.44613504,15815875.763179742,210959654.72620064,91563846.94243115,54409405.839947656,19582293.604949288,68122622.78930213,44708046.54132436,44729961.202347934,31354692.348048404,23038969.373320375,5911075.909084273
 December,609.9999999999998,646.8333333333333,599.0,663.0000000000001,576.8333333333331,597.0000000000001,658.3333333333334,288.6666666666666,297.49999999999994,282.99999999999994,293.83333333333326,298.16666666666663,293.33333333333326,299.1666666666666,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,453570269.1427644,28583250.532024138,182440028.62913394,2694672.636123635,359170768.4362957,29872900.64586394,96575786.42050566,4736122.289357691,181430010.8005478,15189866.040180296,119273239.88313663,10311132.455370374,58414808.4998067,1482085.5844572177
